bugle_id,user_id,bugle,create_date
e4a344ca-4902-4b95-9157-710d7ba5a140,e81c4664-6134-47af-b45b-c4910cbea281,Trustwell Certification,2022-09-22 15:49:12-06
e5897753-2cce-4da6-8c79-f268dfe69dbe,e81c4664-6134-47af-b45b-c4910cbea281,Continous Monitoring,2022-09-22 15:25:00-06
95282981-0526-4e04-a7ba-bb6866e347e9,e81c4664-6134-47af-b45b-c4910cbea281,Responsibily Sourced GaS!,2022-09-22 15:00:12-06
71e8d028-9ab6-4e48-b1f1-94fd2a845082,e81c4664-6134-47af-b45b-c4910cbea281,Measurement economy,2022-09-22 14:49:12-06
fb343571-bd7b-42b1-bc43-5ae3d1fc2b54,e81c4664-6134-47af-b45b-c4910cbea281,Methane Concentrations,2022-09-21 09:00:12-06
a4a0b54b-1cd3-408b-8941-3e04d3e1e908,e81c4664-6134-47af-b45b-c4910cbea281,Quantified Total Site Emissions,2022-09-21 08:00:00-06
aec63733-40b0-4267-94e0-66446674c490,e81c4664-6134-47af-b45b-c4910cbea281,Digital Canopy,2022-09-20 06:49:12-06
797c923b-3814-44f9-818a-30be7757fcfa,e81c4664-6134-47af-b45b-c4910cbea281,Methane Moment,2022-09-20 01:49:12-06
a427b782-5019-4991-b9d4-c24da7e45c80,e81c4664-6134-47af-b45b-c4910cbea281,RSG,2022-09-19 21:49:12-06
d2e390e4-404f-48c8-8749-85e7f31427d5,1910672c-b26f-4ab5-9804-1b0f6ea504ac,Verified Methane,2022-09-22 16:25:00-06
00044e8e-4d60-4d32-8253-683817e5c55e,1910672c-b26f-4ab5-9804-1b0f6ea504ac,Responsibily drilled and maintained ,2022-09-22 15:20:00-06
d2e29876-a20a-4599-85c6-52c5877c3a5b,1910672c-b26f-4ab5-9804-1b0f6ea504ac,Demonstrate Water Stewardship,2022-09-22 14:30:12-06
6a002579-79e2-41ca-b64f-eaf04277b63f,1910672c-b26f-4ab5-9804-1b0f6ea504ac,Reduce GHG Emissions,2022-09-20 06:15:12-06
e4485361-8fcc-4602-92df-715a3c881c73,1910672c-b26f-4ab5-9804-1b0f6ea504ac,Emphasize community needs,2022-09-20 01:00:12-06
e480898d-c64a-42ca-981d-606cce6d03e3,8a7ad5e8-4d44-4778-a9d2-03db6b813e98,Yum grass!,2023-01-08 13:54:52-07
806a8adc-7272-48e5-b242-c3aed7756146,8a7ad5e8-4d44-4778-a9d2-03db6b813e98,Yum fence post!,2022-11-17 00:00:04-07
f5009aa1-8568-4952-b69d-804c688d365b,8a7ad5e8-4d44-4778-a9d2-03db6b813e98,Yum bugs!,2022-10-09 22:56:45-06
5e21470a-1cae-42bb-b611-827cf978e9c9,e5d288fb-fe61-47b9-9680-308970bc5e4a,Elvis has left the building,2023-01-05 01:49:04-07
72e64f47-351a-4a19-bfb0-ba35f973ed6b,e5d288fb-fe61-47b9-9680-308970bc5e4a,"Mountains out of molehills, right?",2022-09-04 02:20:55-06
d3f1191e-a06e-4767-ac66-eaffb120f93d,e5d288fb-fe61-47b9-9680-308970bc5e4a,A few sandwiches short of a picnic,2022-08-16 22:02:23-06
3bde8ff5-9c8d-48e6-8d05-36f05fb8d823,e5d288fb-fe61-47b9-9680-308970bc5e4a,Wild goose chase,2022-09-25 05:23:50-06
